,team,H/AB,R,HR,RBI,SB,AVG,OPS,IP,W,SV,K,ERA,WHIP,QS,Transactions,Draft Position,Clinched Playoffs
0,Hye Ballers,,873,291,903,150,.248,.772,2068.0,127,23,2019,3.90,1.21,148,170,4,Yes
1,The Mosley Boys,,893,285,848,183,.255,.794,1362.2,93,59,1439,3.69,1.21,98,26,9,Yes
2,Dirtbags,,860,250,865,149,.256,.766,2233.2,135,91,2096,4.25,1.27,137,248,7,Yes
3,Honeynut Ichiros,,980,337,974,121,.266,.823,1238.1,84,49,1245,3.44,1.11,106,25,1,No
4,MasterBunter Dinger Squad,,791,180,700,165,.254,.732,1167.1,76,86,1236,3.90,1.22,67,11,2,No
5,Prince Ferris Fielder,,886,224,841,139,.259,.772,1784.0,104,29,1693,3.89,1.22,114,135,3,No
6,it's outta here!,,859,266,840,84,.251,.768,1527.2,95,81,1522,3.43,1.15,102,92,10,No
7,Sultans of Swat,,868,228,806,180,.248,.742,2106.2,125,101,2048,3.82,1.19,146,224,5,Yes
8,The Sandlot Misfits,,799,240,807,127,.251,.747,1850.1,109,118,1798,4.13,1.24,117,182,8,Yes
9,John and Karen's Swell Team,,886,254,817,139,.263,.782,1611.2,108,34,1628,3.89,1.21,120,33,6,Yes
